ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
1625,1803.0,96.0,360.0,1.0
4931,0.0,128.0,360.0,1.0
7667,0.0,185.0,360.0,1.0
2297,1522.0,104.0,360.0,1.0
4191,0.0,120.0,360.0,1.0
3601,1590.0,128.0,360.0,1.0
2917,536.0,66.0,360.0,1.0
2750,1842.0,115.0,360.0,1.0
3620,0.0,25.0,120.0,1.0
4600,0.0,73.0,180.0,1.0
5250,688.0,160.0,360.0,1.0
2833,0.0,71.0,360.0,1.0
3399,1640.0,111.0,180.0,1.0
5417,4196.0,267.0,360.0,1.0
3410,0.0,88.0,360.0,1.0
4547,0.0,115.0,360.0,1.0
1993,1625.0,113.0,180.0,1.0
3667,0.0,113.0,180.0,1.0
3596,0.0,100.0,240.0,1.0
2645,3440.0,120.0,360.0,0.0
9357,0.0,292.0,360.0,1.0
3166,0.0,36.0,360.0,1.0
2583,2358.0,120.0,360.0,1.0
8334,0.0,160.0,360.0,1.0
3340,1710.0,150.0,360.0,0.0
6325,0.0,175.0,360.0,1.0
4707,1993.0,148.0,360.0,1.0
3762,1666.0,135.0,360.0,1.0
6400,0.0,200.0,360.0,1.0
2799,2253.0,122.0,360.0,1.0
2425,2340.0,143.0,360.0,1.0
4333,1811.0,160.0,360.0,0.0
1928,1644.0,100.0,360.0,1.0
8333,0.0,280.0,360.0,1.0
3667,1459.0,144.0,360.0,1.0
2980,2083.0,120.0,360.0,1.0
2510,1983.0,140.0,180.0,1.0
2165,0.0,70.0,360.0,1.0
5516,11300.0,495.0,360.0,0.0
13262,0.0,40.0,360.0,1.0
2920,16.12000084,87.0,360.0,1.0
3416,2816.0,113.0,360.0,1.0
4180,2306.0,182.0,360.0,1.0
6000,0.0,205.0,240.0,1.0
5677,1424.0,100.0,360.0,1.0
10750,0.0,312.0,360.0,1.0
3166,2985.0,132.0,360.0,1.0
8000,0.0,200.0,360.0,1.0
3062,1987.0,111.0,180.0,0.0
4167,1447.0,158.0,360.0,1.0
1907,2365.0,120.0,360.0,1.0
9166,0.0,244.0,360.0,1.0
3283,2035.0,148.0,360.0,1.0
8750,4167.0,308.0,360.0,1.0
2600,1700.0,107.0,360.0,1.0
1830,0.0,128.0,360.0,0.0
4652,3583.0,128.0,360.0,1.0
4680,2087.0,128.0,360.0,1.0
5266,1774.0,187.0,360.0,1.0
6500,0.0,105.0,360.0,0.0
3000,3416.0,56.0,180.0,1.0
10408,0.0,259.0,360.0,1.0
6125,1625.0,187.0,480.0,1.0
7948,7166.0,480.0,360.0,1.0
3691,0.0,110.0,360.0,1.0
3430,1250.0,128.0,360.0,0.0
4160,0.0,71.0,360.0,1.0
3000,1666.0,100.0,480.0,0.0
3523,3230.0,152.0,360.0,0.0
6096,0.0,218.0,360.0,0.0
4006,1526.0,168.0,360.0,1.0
2500,0.0,55.0,360.0,1.0
1828,1330.0,100.0,360.0,0.0
4200,1430.0,129.0,360.0,1.0
5250,0.0,94.0,360.0,1.0
2400,1863.0,104.0,360.0,0.0
3276,484.0,135.0,360.0,1.0
3357,2859.0,144.0,360.0,1.0
2929,2333.0,139.0,360.0,1.0
19730,5266.0,570.0,360.0,1.0
4723,0.0,81.0,360.0,1.0
4708,1387.0,150.0,360.0,1.0
4050,5302.0,138.0,360.0,1.0
2875,1750.0,105.0,360.0,1.0
6277,0.0,118.0,360.0,0.0
3237,0.0,30.0,360.0,1.0
4281,0.0,100.0,360.0,1.0
2138,0.0,99.0,360.0,0.0
4166,7210.0,184.0,360.0,1.0
3660,5064.0,187.0,360.0,1.0
2927,2405.0,111.0,360.0,1.0
3992,0.0,128.0,180.0,1.0
3400,2500.0,173.0,360.0,1.0
5000,3667.0,236.0,360.0,1.0
14866,0.0,70.0,360.0,1.0
3095,0.0,113.0,360.0,1.0
2239,2524.0,128.0,360.0,1.0
1538,1425.0,30.0,360.0,1.0
2717,0.0,60.0,180.0,1.0
5500,0.0,105.0,360.0,0.0
2500,0.0,67.0,360.0,1.0
6540,0.0,205.0,360.0,1.0
2957,0.0,81.0,360.0,1.0
3229,2739.0,110.0,360.0,1.0
2484,2302.0,137.0,360.0,1.0
2698,2034.0,122.0,360.0,1.0
6250,1300.0,108.0,360.0,1.0
6000,0.0,156.0,360.0,1.0
1977,997.0,50.0,360.0,1.0
4333,2451.0,110.0,360.0,1.0
1811,1666.0,54.0,360.0,1.0
4666,0.0,135.0,360.0,1.0
4583,2083.0,160.0,360.0,1.0
2137,8980.0,137.0,360.0,0.0
2383,2138.0,58.0,360.0,1.0
3244,0.0,80.0,360.0,1.0
5818,2160.0,184.0,360.0,1.0
1668,3890.0,201.0,360.0,0.0
5935,0.0,133.0,360.0,1.0
2149,3237.0,178.0,360.0,0.0
2435,0.0,75.0,360.0,1.0
3246,1417.0,138.0,360.0,1.0
4608,2845.0,140.0,180.0,1.0
2454,2333.0,181.0,360.0,0.0
3692,0.0,93.0,360.0,1.0
1820,1719.0,100.0,360.0,1.0
6250,1695.0,210.0,360.0,1.0
3083,2168.0,126.0,360.0,1.0
4616,0.0,134.0,360.0,1.0
7578,1010.0,175.0,360.0,1.0
6080,2569.0,182.0,360.0,1.0
3593,4266.0,132.0,180.0,0.0
1500,1800.0,103.0,360.0,0.0
4354,0.0,136.0,360.0,1.0
2667,1625.0,84.0,360.0,1.0
2755,0.0,65.0,300.0,1.0
3326,913.0,105.0,84.0,1.0
3867,0.0,62.0,360.0,1.0
9504,0.0,275.0,360.0,1.0
3859,3300.0,142.0,180.0,1.0
5000,2541.0,151.0,480.0,1.0
6065,2004.0,250.0,360.0,1.0
4691,0.0,100.0,360.0,1.0
14880,0.0,96.0,360.0,1.0
3572,4114.0,152.0,360.0,0.0
1916,5063.0,67.0,360.0,1.0
8624,0.0,150.0,360.0,1.0
2653,1500.0,113.0,180.0,0.0
2083,4083.0,160.0,360.0,1.0
3069,0.0,71.0,480.0,1.0
3541,0.0,112.0,360.0,1.0
2577,3750.0,152.0,360.0,1.0
4865,5624.0,208.0,360.0,1.0
3463,0.0,122.0,360.0,1.0
2917,0.0,84.0,360.0,1.0
1926,1851.0,50.0,360.0,1.0
3707,3166.0,182.0,360.0,1.0
4342,189.0,124.0,360.0,1.0
4583,0.0,84.0,360.0,1.0
1025,2773.0,112.0,360.0,1.0
4923,0.0,166.0,360.0,0.0
3547,0.0,80.0,360.0,0.0
3481,0.0,155.0,36.0,1.0
5746,0.0,255.0,360.0,1.0
14583,0.0,185.0,180.0,1.0
5667,2667.0,180.0,360.0,1.0
2492,2375.0,128.0,360.0,1.0
5941,4232.0,296.0,360.0,1.0
5488,0.0,125.0,360.0,1.0
4758,0.0,158.0,480.0,1.0
3182,2917.0,161.0,360.0,1.0
3676,4301.0,172.0,360.0,1.0
2666,2083.0,95.0,360.0,1.0
3865,1640.0,128.0,360.0,1.0
12000,0.0,496.0,360.0,1.0
9508,0.0,187.0,360.0,1.0
8799,0.0,258.0,360.0,0.0
3941,2336.0,134.0,360.0,1.0
7333,0.0,120.0,360.0,1.0
3466,3428.0,150.0,360.0,1.0
3859,0.0,96.0,360.0,1.0
3459,0.0,25.0,120.0,1.0
2769,1542.0,190.0,360.0,1.0
20833,6667.0,480.0,360.0,1.0
4695,0.0,96.0,360.0,1.0
1820,1769.0,95.0,360.0,1.0
5726,4595.0,258.0,360.0,1.0
3704,2000.0,120.0,360.0,1.0
2366,2531.0,136.0,360.0,1.0
9703,0.0,112.0,360.0,1.0
4885,0.0,48.0,360.0,1.0
4384,1793.0,117.0,360.0,1.0
1863,1041.0,98.0,360.0,1.0
3073,8106.0,200.0,360.0,1.0
2275,2067.0,128.0,360.0,1.0
1442,0.0,35.0,360.0,1.0
3522,0.0,81.0,180.0,1.0
6950,0.0,175.0,180.0,1.0
5819,5000.0,120.0,360.0,1.0
5532,4648.0,162.0,360.0,1.0
17500,0.0,400.0,360.0,1.0
3250,0.0,170.0,360.0,1.0
5468,1032.0,26.0,360.0,1.0
6782,0.0,128.0,360.0,1.0
3086,0.0,120.0,360.0,1.0
3406,4417.0,123.0,360.0,1.0
4683,1915.0,185.0,360.0,1.0
8333,3167.0,165.0,360.0,1.0
5285,1430.0,161.0,360.0,0.0
6400,7250.0,180.0,360.0,0.0
4333,2451.0,110.0,360.0,1.0
3617,0.0,107.0,360.0,1.0
1800,1213.0,47.0,360.0,1.0
4467,0.0,120.0,360.0,1.0
11250,0.0,196.0,360.0,1.0
10000,0.0,214.0,360.0,1.0
3033,1459.0,95.0,360.0,1.0
2600,1717.0,99.0,300.0,1.0
3013,3033.0,95.0,300.0,1.0
1963,0.0,53.0,360.0,1.0
14683,2100.0,304.0,360.0,1.0
4009,1717.0,116.0,360.0,1.0
6000,0.0,141.0,360.0,1.0
6083,4250.0,330.0,360.0,1.0
6406,0.0,150.0,360.0,1.0
3017,663.0,102.0,360.0,1.0
10416,0.0,187.0,360.0,0.0
4288,3263.0,133.0,180.0,1.0
2491,2054.0,104.0,360.0,1.0
3708,2569.0,173.0,360.0,1.0
3887,2669.0,162.0,360.0,1.0
2787,1917.0,146.0,360.0,0.0
3727,1775.0,131.0,360.0,1.0
6822,0.0,141.0,360.0,1.0
5708,5625.0,187.0,360.0,1.0
4188,0.0,115.0,180.0,1.0
6875,0.0,200.0,360.0,1.0
4283,2383.0,127.0,360.0,1.0
3029,0.0,99.0,360.0,1.0
2253,2033.0,110.0,360.0,1.0
5821,0.0,144.0,360.0,1.0
4692,0.0,106.0,360.0,1.0
2666,4300.0,121.0,360.0,1.0
11146,0.0,136.0,360.0,1.0
2935,0.0,98.0,360.0,1.0
3917,0.0,124.0,360.0,1.0
4895,0.0,102.0,360.0,1.0
4226,1040.0,110.0,360.0,1.0
2550,2042.0,126.0,360.0,1.0
5815,3666.0,311.0,360.0,1.0
3155,1779.0,140.0,360.0,1.0
2895,0.0,95.0,360.0,1.0
5166,0.0,128.0,360.0,1.0
7167,0.0,128.0,360.0,1.0
3153,1560.0,134.0,360.0,1.0
4606,0.0,81.0,360.0,1.0
3180,0.0,71.0,360.0,0.0
3583,0.0,96.0,360.0,1.0
14999,0.0,242.0,360.0,0.0
2609,3449.0,165.0,180.0,0.0
4350,0.0,154.0,360.0,1.0
10513,3850.0,160.0,180.0,0.0
6383,1000.0,187.0,360.0,1.0
6783,0.0,130.0,360.0,1.0
4166,0.0,116.0,360.0,0.0
1299,1086.0,17.0,120.0,1.0
9538,0.0,187.0,360.0,1.0
3600,0.0,80.0,360.0,1.0
3159,0.0,100.0,360.0,1.0
4566,0.0,100.0,360.0,1.0
12000,0.0,164.0,360.0,1.0
2221,0.0,60.0,360.0,0.0
4230,0.0,112.0,360.0,1.0
4554,1229.0,158.0,360.0,1.0
2014,2925.0,113.0,360.0,1.0
3083,0.0,255.0,360.0,1.0
3450,2079.0,162.0,360.0,1.0
4166,0.0,98.0,360.0,0.0
8072,240.0,253.0,360.0,1.0
2620,2223.0,150.0,360.0,1.0
4408,0.0,120.0,360.0,1.0
3089,1280.0,121.0,360.0,0.0
2213,0.0,66.0,360.0,1.0
1958,2436.0,131.0,360.0,1.0
3052,1030.0,100.0,360.0,1.0
3100,1400.0,113.0,360.0,1.0
4583,1508.0,128.0,360.0,1.0
4283,3000.0,172.0,84.0,1.0
3846,0.0,111.0,360.0,1.0
3418,0.0,127.0,360.0,1.0
12500,3000.0,320.0,360.0,1.0
3074,1800.0,123.0,360.0,0.0
10047,0.0,128.0,240.0,1.0
5191,0.0,132.0,360.0,1.0
5185,0.0,155.0,360.0,1.0
6250,5654.0,188.0,180.0,1.0
2583,2330.0,125.0,360.0,1.0
9083,0.0,228.0,360.0,1.0
6050,4333.0,120.0,180.0,1.0
1853,2840.0,114.0,360.0,1.0
10000,0.0,155.0,360.0,1.0
2583,2115.0,120.0,360.0,1.0
3103,1300.0,80.0,360.0,1.0
2439,3333.0,129.0,360.0,1.0
3232,1950.0,108.0,360.0,1.0
17263,0.0,225.0,360.0,1.0
9963,0.0,180.0,360.0,1.0
2130,6666.0,70.0,180.0,1.0
6608,0.0,137.0,180.0,1.0
3159,461.0,108.0,84.0,1.0
5116,1451.0,165.0,360.0,0.0
3858,0.0,76.0,360.0,1.0
8333,0.0,246.0,360.0,1.0
3400,0.0,95.0,360.0,1.0
8080,2250.0,180.0,360.0,1.0
10833,0.0,234.0,360.0,1.0
3166,2064.0,104.0,360.0,0.0
6045,0.0,115.0,360.0,0.0
5955,5625.0,315.0,360.0,1.0
2058,2134.0,88.0,360.0,1.0
210,2917.0,98.0,360.0,1.0
7933,0.0,275.0,360.0,1.0
4053,2426.0,158.0,360.0,0.0
3125,2583.0,170.0,360.0,1.0
9167,0.0,185.0,360.0,1.0
2720,0.0,80.0,360.0,0.0
645,3683.0,113.0,480.0,1.0
6333,4583.0,259.0,360.0,1.0
2507,0.0,56.0,360.0,1.0
20166,0.0,650.0,480.0,1.0
1759,3541.0,131.0,360.0,1.0
4310,0.0,130.0,360.0,1.0
2500,2118.0,104.0,360.0,1.0
16692,0.0,110.0,360.0,1.0
5503,4490.0,70.0,360.0,1.0
5000,0.0,72.0,360.0,0.0
16525,1014.0,150.0,360.0,1.0
4166,0.0,44.0,360.0,1.0
7660,0.0,104.0,360.0,0.0
1875,1875.0,97.0,360.0,1.0
11417,1126.0,225.0,360.0,1.0
3900,0.0,90.0,360.0,1.0
7333,8333.0,175.0,300.0,1.0
13650,0.0,128.0,360.0,1.0
14741,1711.591735162999,292.53270837147903,360.0,0.8150436834109519
10000,0.0,203.22724725428785,360.0,1.0
3267,1856.9905568084534,130.89953216613318,360.0,0.0
9618,0.0,195.7295167473357,360.0,1.0
5047,0.0,75.10925692606996,360.0,0.0
3015,3137.0658350236126,128.27212809113507,360.0,0.0
3520,0.0,80.39463260056333,201.79322637972007,0.8789265201126663
5715,4945.522307717548,270.3898265367724,360.0,0.9477222508996946
3479,0.0,154.4159160670244,42.75868551014635,1.0
2803,1921.174343744356,143.912828127822,349.2659732287988,0.0
7351,6297.792178617306,262.32586369254875,360.0,0.0
4233,2328.2651313666724,149.35089658112145,360.0,0.2883034472959517
4973,2488.9567003668294,153.8266328874246,470.02364863261903,1.0
2578,3422.2223282547584,162.34267379627374,189.1984368590524,0.05110242699473555
2652,0.0,128.11302053592203,339.8608550753192,1.0
3536,0.0,78.81549023877912,360.0,0.0
4338,702.9287221740553,88.12334503484867,360.0,1.0
1968,0.0,128.0,360.0,0.8121829354675708
3548,0.0,87.48127491682601,257.77529900191206,1.0
2344,1859.1291903803942,103.93855857746658,360.0,0.0
3340,1716.3264974267206,148.8386139989595,360.0,0.0
4735,2710.0449405294885,158.7340822464472,334.1573062098529,1.0
2552,0.0,127.85529341005078,360.0,1.0
2905,1588.6487141975135,142.58655278285514,360.0,1.0
6012,0.0,180.92392938568415,272.10142748575447,0.7324881042853795
2469,1843.8338368050647,156.70694878607213,360.0,0.9583081597467658
9590,0.0,228.7205458035092,360.0,1.0
19579,4699.931465836126,562.4753518056455,360.0,1.0
6340,7014.325975389969,186.92375665520993,360.0,0.08876611096422993
1823,3678.307178647117,193.5437444240179,360.0,0.0
5929,3432.659854437262,214.397901745919,360.0,1.0
5166,0.0,86.63128779391413,360.0,0.6650585360870059
3396,0.0,121.91656945502871,360.0,0.9092244545540842
3414,3210.049874715102,146.90635099108988,360.0,0.0
3596,0.0,80.0,360.0,0.9286877592265325
2270,0.0,69.24312911182255,360.0,1.0
4593,0.0,118.58654431331671,360.0,1.0
6005,0.0,194.61040170260605,253.8527977298586,0.8845600189178452
2905,0.0,67.87709065891062,386.31271976731836,1.0
4183,0.0,114.92714273397787,360.0,0.2682143165055325
7102,0.0,127.46564821823227,360.0,1.0
2427,0.0,71.16497501900969,360.0,1.0
8519,0.0,263.4852732012257,360.0,0.3226631294838651
4045,5291.9558373899945,137.94182917407332,358.25487522219976,0.9903048623455544
6177,0.0,172.83600548998777,360.0,0.0
6208,5656.9747896373065,147.23294047934124,261.69882143802374,0.5461176586776461
3093,0.0,71.0,453.53795623870985,0.7794829686559156
1976,1360.595282267987,102.33963923225784,327.6049952456608,0.0
10932,0.0,203.31532363494165,360.0,1.0
3073,0.0,71.0,475.3436249096651,0.9611968742472091
11686,0.0,171.84782531667025,360.0,1.0
3594,0.0,79.73752129945181,360.0,0.934380324862954
3003,1673.2290979404918,101.24081531814413,473.52618094881325,0.0
4190,2477.9657416937744,124.39696378565912,360.0,1.0
4889,0.0,99.45533802074468,360.0,0.415989970011283
4576,0.0,94.95390772614545,360.0,1.0
3114,1648.6896791754723,137.39413964355504,360.0,0.5729936525656805
2028,6056.813185206431,98.74764868082045,219.50058597364642,0.7805523001464088
2581,0.0,147.18895084306612,360.0,1.0
3364,2201.9351935511722,135.17684536368415,360.0,1.0
3003,232.0058391872152,68.8357664254924,428.0583942118175,1.0
3574,0.0,99.89135754429448,360.0,0.0
6050,4277.862633301339,121.93793465720918,185.62626190802666,1.0
2051,0.0,112.02435855547665,360.0,0.7650640964040685
2817,1880.7769340383225,139.3615098237563,377.3178004597662,0.0
2509,3402.940062486793,167.82443013052685,219.107494114987,0.0
3550,3732.7095668716456,152.0,360.0,0.0
12019,470.98636116294756,220.2221557169516,360.0,1.0
5848,0.0,207.03372842737065,360.0,0.6573837744812189
6119,1741.5218809528292,186.38282902037696,465.18789648904715,1.0
2025,2934.7377524008793,113.96634184130865,356.6549705493162,0.9814165030517567
15243,272.53261359097087,258.9750659433799,360.0,0.05175324982737772
4438,2290.008211458379,132.52683608324926,360.0,1.0
2307,1835.6780169815515,149.4643942085321,360.0,0.8297213251523589
13899,0.0,213.39805882922406,360.0,0.3666915534714864
3546,0.0,79.98553706449896,360.0,0.0
4681,2006.708263161228,154.60830813843032,360.0,1.0
1585,0.0,36.68557901002245,360.0,1.0
1577,1688.5364067743058,102.28853025600621,360.0,0.0
2043,4064.1335469885944,127.7197022367284,360.0,0.45297565552496943
5802,3797.788239330506,303.4814029230174,360.0,1.0
6427,0.0,148.7678878050549,360.0,1.0
10394,0.0,185.34051936869687,360.0,0.0518587697282229
8519,0.0,199.04889169850705,360.0,0.6015419214438056
7667,0.0,206.41629765559486,360.0,1.0
4730,0.0,115.98985542316018,360.0,1.0
10970,0.0,159.36724504780273,360.0,1.0
2998,0.0,69.64546152811883,439.363845843565,1.0
13844,0.0,211.9845240050999,360.0,0.3848137948064114
2505,1967.2888658009842,142.13222535558072,200.20002968444882,1.0
4677,2090.144984466571,127.84447879011462,360.0,1.0
2045,6033.538337838796,68.81635372022232,251.01877678666042,1.0
3178,0.0,71.23897003018364,360.0,0.07965667672788079
5253,0.0,94.15005513126498,360.0,0.9863586244304572
2407,1857.1738178995802,103.80047321573905,357.60567858886856,0.039905356852190876
2981,1643.756831134397,109.88585282915686,437.63205930361346,0.3530661724698878
6082,1633.6074228177063,186.94063846332617,476.4383077995698,1.0
1573,0.0,56.92134114844188,360.0,1.0
3176,0.0,71.82449129895552,360.0,0.27483043298517595
3598,0.0,82.70275504955288,360.0,0.9099081650149041
3598,0.0,82.96843805539962,360.0,0.901052064820013
2378,0.0,12.528388991411937,360.0,1.0
4140,0.0,102.36441073520479,333.81353558877123,0.14548035784015978
3034,1727.9118831070102,110.62666650344205,424.5565225907371,0.0
2211,0.0,61.59191572522195,360.0,0.0
10528,0.0,172.32581281446477,360.0,1.0
14546,1947.657639794687,383.14054161231877,360.0,1.0
2647,0.0,128.6597043095287,360.0,0.6082463038691087
3148,0.0,76.79901639864639,451.0049180067681,1.0
11542,702.6522911054867,225.04296136569343,360.0,1.0
12992,2796.985436478394,316.39085220406037,360.0,1.0
8867,4145.822940393236,298.1129185432145,347.9751712012068,0.9331953955622602
8173,0.0,146.6575922463955,360.0,0.7617427186856338
5520,0.0,117.75479137208727,360.0,0.08503194248058177
4628,2490.881707579202,128.1683334527477,413.1756101056031,1.0
3510,0.0,76.00695689865954,360.0,0.0017392246648855192
3130,5198.974739705173,107.39416953584659,360.0,1.0
3230,1442.974513623911,115.01133081377522,415.6657250838205,0.0
2682,1631.3026825824402,143.5626050571311,329.38193740030624,1.0
2620,0.0,146.3209842853684,360.0,0.829012303567105
9599,4410.574687657607,266.8703729338421,269.0586441115351,0.0
3093,2009.3142495428149,113.51428163862703,198.85711228970268,0.10476173494279273
6310,1175.0134667099626,187.0,393.60258560831284,1.0
4594,0.0,82.46361098698816,360.0,1.0
2773,3320.6591269569694,149.82871468820406,253.80625286819645,0.0
4645,1879.6849825643094,128.0,360.0,1.0
4987,0.0,82.3367537104463,360.0,0.18458488768654113
2071,0.0,112.90622631755011,360.0,0.4795250454327622
6007,0.0,204.01182975589163,242.15600780532733,1.0
3234,2110.6317963749025,114.62930652663218,360.0,0.342880855697812
6977,0.0,152.93541681590924,360.0,1.0
2082,3083.7382883005507,146.07047672928144,360.0,0.4912234349341318
2647,1522.8290034443148,111.52716106810871,192.6243337019253,0.10520278084937751
15837,1435.5764548765355,366.0128642115234,360.0,1.0
2509,2263.2374961806495,175.1305585728912,360.0,0.0
9022,0.0,247.61098704904234,360.0,1.0
10068,0.0,223.21754460946528,360.0,1.0
5922,4436.1291362160355,174.3199267092093,250.85207831635998,1.0
3165,2063.881502505505,104.01077249949952,359.7229928700121,0.0
2790,3307.4244863201234,148.2642364020593,261.4172283143061,0.0
4626,1767.046440080131,128.0,360.0,1.0
4758,1489.2539435956705,140.1684927536876,360.0,0.6711218174679027
4958,2482.380253727747,148.03027717122947,464.5057939368494,1.0
3200,1472.186612250325,113.04513186776659,424.0922919952861,0.0
3568,1280.6012011070093,104.84233429739844,360.0,0.8270594893786274
1900,0.0,117.49989130978959,360.0,0.1280501059781758
1930,3767.187765967759,190.97451150757215,309.8725575378607,0.0
3572,0.0,98.58424643756679,360.0,0.0
3585,0.0,93.5517166705095,360.0,1.0
3521,0.0,81.12498787734602,360.0,0.0
5267,3742.6964860076623,143.02759394418723,137.48751887226973,1.0
4917,0.0,128.69687919411535,360.0,1.0
